2020-10-09/16:23:29		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:30		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:23:31		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:23:32		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:23:34		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:23:35		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:23:37		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-09/16:50:34		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:50:37		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:50:38		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:50:39		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:50:42		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:45		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:50:46		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-15/11:11:38		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-15/11:11:41		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:44		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-08/22:09:35		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-08/22:09:48		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-08/22:09:48		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-08/22:09:49		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-08/22:09:49		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-08/22:09:50		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-08/22:09:50		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-08/22:09:51		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-08/22:09:51		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-09/18:45:45		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-09/18:45:45		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-09/18:45:45		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-09/18:45:46		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-09/18:45:46		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-09/18:45:47		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-09/18:45:47		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-09/18:45:48		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-09/18:45:48		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-21/23:35:45		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-21/23:35:46		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-21/23:35:46		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-21/23:35:47		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-21/23:35:48		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-21/23:35:48		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-21/23:35:49		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-21/23:35:50		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-21/23:35:50		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-21/23:38:50		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-21/23:38:50		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-21/23:38:51		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-21/23:38:51		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-21/23:38:52		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-21/23:38:52		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-21/23:38:53		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-21/23:38:54		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-21/23:38:54		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-21/23:40:10		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-21/23:40:11		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-21/23:40:11		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-21/23:40:12		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-21/23:40:13		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-21/23:40:13		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-21/23:40:15		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-21/23:40:15		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-21/23:40:16		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-21/23:43:30		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-21/23:43:31		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-21/23:43:31		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-21/23:43:32		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-21/23:43:33		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-21/23:43:34		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-21/23:43:34		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-21/23:43:35		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-21/23:43:36		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-22/00:05:38		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-22/00:05:39		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-22/00:05:39		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-22/00:05:40		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-22/00:05:40		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-22/00:05:41		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-22/00:05:42		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-22/00:05:42		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-22/00:05:43		 wafer_29012020_050617.csv: File Transformed successfully!!
