,columns,missing values count
0,Sensor - 1,13
1,Sensor - 2,35
2,Sensor - 3,167
3,Sensor - 4,167
4,Sensor - 5,167
5,Sensor - 6,167
6,Sensor - 7,167
7,Sensor - 8,103
8,Sensor - 9,26
9,Sensor - 10,26
10,Sensor - 11,26
11,Sensor - 12,26
12,Sensor - 13,26
13,Sensor - 14,39
14,Sensor - 15,39
15,Sensor - 16,39
16,Sensor - 17,39
17,Sensor - 18,39
18,Sensor - 19,39
19,Sensor - 20,0
20,Sensor - 21,0
21,Sensor - 22,11
22,Sensor - 23,11
23,Sensor - 24,11
24,Sensor - 25,11
25,Sensor - 26,11
26,Sensor - 27,11
27,Sensor - 28,11
28,Sensor - 29,11
29,Sensor - 30,11
30,Sensor - 31,11
31,Sensor - 32,11
32,Sensor - 33,0
33,Sensor - 34,0
34,Sensor - 35,0
35,Sensor - 36,0
36,Sensor - 37,0
37,Sensor - 38,0
38,Sensor - 39,0
39,Sensor - 40,0
40,Sensor - 41,178
41,Sensor - 42,178
42,Sensor - 43,0
43,Sensor - 44,0
44,Sensor - 45,0
45,Sensor - 46,0
46,Sensor - 47,0
47,Sensor - 48,0
48,Sensor - 49,0
49,Sensor - 50,0
50,Sensor - 51,0
51,Sensor - 52,0
52,Sensor - 53,0
53,Sensor - 54,13
54,Sensor - 55,13
55,Sensor - 56,13
56,Sensor - 57,13
57,Sensor - 58,13
58,Sensor - 59,13
59,Sensor - 60,63
60,Sensor - 61,63
61,Sensor - 62,63
62,Sensor - 63,63
63,Sensor - 64,63
64,Sensor - 65,63
65,Sensor - 66,63
66,Sensor - 67,63
67,Sensor - 68,63
68,Sensor - 69,63
69,Sensor - 70,63
70,Sensor - 71,63
71,Sensor - 72,63
72,Sensor - 73,6571
73,Sensor - 74,6571
74,Sensor - 75,63
75,Sensor - 76,312
76,Sensor - 77,312
77,Sensor - 78,312
78,Sensor - 79,312
79,Sensor - 80,312
80,Sensor - 81,312
81,Sensor - 82,312
82,Sensor - 83,312
